PaÃ­s;CÃ³digo ISO paÃ­s;Oficina de registro;Grupo edad;Edad (aÃ±os);Ãrea Conocimiento;Sub Area Conocimiento;Nivel AcadÃ©mico;Estado civil;GÃ©nero;Etnia de la persona;Estatura (CM);LocalizaciÃ³n;Cantidad de personas;
ARGENTINA;ARG;C. BUENOS AIRES;ADULTO JOVEN;24;BELLAS ARTES;MÃšSICA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(-38.416097, -63.616672);2;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;24;NINGUNA;NINGUNA;PRIMARIA;CASADO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. LAS PALMAS DE G.C;ADULTO JOVEN;24;(NO REGISTRA);(NO REGISTRA);(NO REGISTRA);SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;24;AGRONOMÃA, VETERINARIA Y ZOOTECNIA;MEDICINA VETERINARIA;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. MARACAIBO;ADULTO JOVEN;24;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;OTRO;170;(6.42375, -66.58973);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;176;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. SAN FNDO ATABAPO;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;SIN ETNIA REGISTRADA;-1;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;24;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;150;(6.42375, -66.58973);1;
AUSTRALIA;AUS;C. SYDNEY;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(-25.274398, 133.775136);1;
ESTADOS UNIDOS;USA;C. LOS ANGELES;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ECONOMÃA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;OTRAS INGENIERÃAS;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;UNION_LIBRE;FEMENINO;AFRODESCENDIENTE;-1;(40.463667, -3.74922);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;24;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;MASCULINO;NINGUNA;160;(6.42375, -66.58973);2;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;UNION_LIBRE;MASCULINO;AFRODESCENDIENTE;-1;(-35.675147, -71.542969);1;
CANADA;CAN;C. CALGARY;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA EN SISTEMAS, TELEMÃTICA Y AFINES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(56.130366, -106.346771);1;
VIET NAM;VNM;C. HANOI;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(14.058324, 108.277199);1;
ESTADOS UNIDOS;USA;C. CHICAGO;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;SALUD PÃšBLICA;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;160;(46.227638, 2.213749);1;
VENEZUELA;VEN;C. SAN ANT DE TACHIRA;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;152;(6.42375, -66.58973);1;
CHILE;CHL;C. ANTOFAGASTA;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;PERIODISMO, COMUNICACIÃ“N SOCIAL Y AFINES;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(-35.675147, -71.542969);1;
HONDURAS;HND;C. TEGUCIGALPA;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;0;(15.199999, -86.241905);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;UNION_LIBRE;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
MEXICO;MEX;C. GUADALAJARA;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA EN SISTEMAS, TELEMÃTICA Y AFINES;PREGRADO - TECNOLÃ“GICO;CASADO;FEMENINO;OTRO;-1;(23.634501, -102.552784);1;
VENEZUELA;VEN;C. MERIDA VEN;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;SALUD OCUPACIONAL (HSEQ);PREGRADO - TÃ‰CNICO PROFESIONAL;UNION_LIBRE;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;CASADO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ECUADOR;ECU;C. STO DOM COLORADOS;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;SOCIOLOGÃA, TRABAJO SOCIAL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(-1.831239, -78.183406);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;24;AGRONOMÃA, VETERINARIA Y ZOOTECNIA;AGRONOMÃA;PREGRADO - TÃ‰CNICO PROFESIONAL;UNION_LIBRE;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ECONOMÃA;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;24;MATEMÃTICAS Y CIENCIAS NATURALES;MATEMÃTICAS, ESTADÃSTICA Y AFINES;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;-1;(-35.675147, -71.542969);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(40.463667, -3.74922);2;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;152;(40.463667, -3.74922);2;
PORTUGAL;PRT;C. LISBOA;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;-1;(39.399872, -8.224454);1;
PERU;PER;C. LIMA;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;UNION_LIBRE;FEMENINO;NINGUNA;-1;(-9.189967, -75.015152);1;
ESTADOS UNIDOS;USA;C. WASHINGTON;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;ENFERMERÃA;PREGRADO - TÃ‰CNICO PROFESIONAL;CASADO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);3;
ECUADOR;ECU;C. STO DOM COLORADOS;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;UNION_LIBRE;MASCULINO;NINGUNA;-1;(-1.831239, -78.183406);1;
BRASIL;BRA;C. BRASILIA;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;UNION_LIBRE;FEMENINO;NINGUNA;-1;(-14.235004, -51.92528);1;
CANADA;CAN;C. CALGARY;ADULTO JOVEN;24;NO INDICA;NO INDICA;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(56.130366, -106.346771);1;
VENEZUELA;VEN;C. MARACAIBO;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;159;(6.42375, -66.58973);1;
PERU;PER;C. IQUITOS;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(-9.189967, -75.015152);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;OTRO;168;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. HOUSTON;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TÃ‰CNICO PROFESIONAL;DESCONOCIDO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
BRASIL;BRA;C. BRASILIA;ADULTO JOVEN;24;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;OTRO;-1;(-14.235004, -51.92528);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;24;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;OTRO;-1;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SEPARADO_UNION_LIBRE;MASCULINO;OTRO;-1;(40.463667, -3.74922);2;
ESPAÃ‘A;ESP;C. BILBAO;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;24;BELLAS ARTES;DISEÃ‘O;PREGRADO - PROFESIONAL;DESCONOCIDO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;165;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(40.463667, -3.74922);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(9.748917, -83.753428);1;
SUIZA;CHE;C. BERNA;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;165;(46.818188, 8.227512);1;
GUATEMALA;GTM;C. GUATEMALA;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(15.783471, -90.230759);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;24;BELLAS ARTES;MÃšSICA;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;24;BELLAS ARTES;PUBLICIDAD Y AFINES;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;POSTGRADO - MAESTRIA;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ADMINISTRACIÃ“N;PREGRADO - TECNOLÃ“GICO;SOLTERO;FEMENINO;NINGUNA;-1;(-1.831239, -78.183406);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA CIVIL Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
CANADA;CAN;C. MONTREAL;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;150;(56.130366, -106.346771);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;OTRAS INGENIERÃAS;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. BARINAS;ADULTO JOVEN;24;NO INDICA;NO INDICA;PRIMARIA;UNION_LIBRE;FEMENINO;NINGUNA;150;(6.42375, -66.58973);1;
VENEZUELA;VEN;C. SAN ANT DE TACHIRA;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;SOLTERO;FEMENINO;OTRO;163;(6.42375, -66.58973);1;
AUSTRALIA;AUS;C. SYDNEY;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA ELECTRÃ“NICA, TELECOMUNICACIONES Y AFINES;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(-25.274398, 133.775136);1;
REINO UNIDO;GBR;C. LONDRES;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA ELECTRÃ“NICA, TELECOMUNICACIONES Y AFINES;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(55.378051, -3.435973);1;
ESPAÃ‘A;ESP;C. SEVILLA;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA EN SISTEMAS, TELEMÃTICA Y AFINES;NO INDICA;UNION_LIBRE;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. ATLANTA;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;DESCONOCIDO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. MARACAIBO;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;DESCONOCIDO;MASCULINO;OTRO;-1;(6.42375, -66.58973);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;BELLAS ARTES;ARTES DRAMÃTICAS Y REPRESENTATIVAS;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;CIENCIA POLÃTICA Y/O RELACIONES INTERNACIONALES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;ANTROPOLOGÃA O ARTES LIBERALES;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;24;NO INDICA;NO INDICA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;24;BELLAS ARTES;DISEÃ‘O;NO INDICA;UNION_LIBRE;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;175;(9.748917, -83.753428);1;
ESTADOS UNIDOS;USA;C. ORLANDO;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
COSTA RICA;CRI;C. SAN JOSE;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;MASCULINO;AFRODESCENDIENTE;165;(9.748917, -83.753428);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;24;BELLAS ARTES;ARTES DRAMÃTICAS Y REPRESENTATIVAS;NO INDICA;DESCONOCIDO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;OTRO PROGRAMA DE SALUD;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;NINGUNA;-1;(46.227638, 2.213749);1;
BRASIL;BRA;C. SAO PAULO;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;ARQUITECTURA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(-14.235004, -51.92528);1;
ECUADOR;ECU;C. GUAYAQUIL;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA ELÃ‰CTRICA Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(-1.831239, -78.183406);1;
ESPAÃ‘A;ESP;C. SEVILLA;ADULTO JOVEN;24;NO INDICA;NO INDICA;PRIMARIA;SOLTERO;FEMENINO;NINGUNA;164;(40.463667, -3.74922);1;
CANADA;CAN;C. TORONTO;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;OTRAS INGENIERÃAS;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(56.130366, -106.346771);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA INDUSTRIAL Y AFINES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(40.463667, -3.74922);1;
CHILE;CHL;C. SANTIAGO;ADULTO JOVEN;24;NINGUNA;NINGUNA;PRIMARIA;SOLTERO;MASCULINO;INDÃGENA;-1;(-35.675147, -71.542969);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;PREGRADO - TECNOLÃ“GICO;DESCONOCIDO;FEMENINO;OTRO;-1;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;ENFERMERÃA;NO INDICA;CASADO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ECUADOR;ECU;C. GUAYAQUIL;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ECONOMÃA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(-1.831239, -78.183406);1;
MEXICO;MEX;C. MEXICO;ADULTO JOVEN;24;NINGUNA;NINGUNA;NINGUNO;SOLTERO;MASCULINO;OTRO;-1;(23.634501, -102.552784);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;160;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. MIAMI;ADULTO JOVEN;24;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
ALEMANIA;DEU;C. FRANKFURT;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;MEDICINA;NO INDICA;SOLTERO;MASCULINO;OTRO;-1;(51.165691, 10.451526);1;
ESTADOS UNIDOS;USA;C. SAN FRANCISCO;ADULTO JOVEN;24;ECONOMÃA, ADMINISTRACIÃ“N CONTADURIA Y AFINES;ECONOMÃA;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
FEDERACION DE RUSIA;RUS;C. MOSCU;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;OTRO;-1;(61.52401, 105.318756);1;
ESTADOS UNIDOS;USA;C. BOSTON;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA DE MINAS, METALURGIA Y AFINES;PREGRADO - PROFESIONAL;SOLTERO;FEMENINO;OTRO;-1;(37.09024, -95.712891);1;
VENEZUELA;VEN;C. VALENCIA VEN;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;UNION_LIBRE;FEMENINO;NINGUNA;157;(6.42375, -66.58973);1;
BRASIL;BRA;C. SAO PAULO;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;ENFERMERÃA;NO INDICA;SOLTERO;FEMENINO;OTRO;-1;(-14.235004, -51.92528);1;
ITALIA;ITA;C. ROMA;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;SOLTERO;MASCULINO;AFRODESCENDIENTE;-1;(41.87194, 12.56738);1;
ESPAÃ‘A;ESP;C. MADRID;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;MEDICINA;BACHILLERATO;SOLTERO;MASCULINO;NINGUNA;180;(40.463667, -3.74922);1;
ESTADOS UNIDOS;USA;C. ATLANTA;ADULTO JOVEN;24;NO INDICA;NO INDICA;NINGUNO;SOLTERO;MASCULINO;SIN ETNIA REGISTRADA;180;(37.09024, -95.712891);1;
AUSTRALIA;AUS;C. CANBERRA;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;NO INDICA;SOLTERO;MASCULINO;NINGUNA;-1;(-25.274398, 133.775136);1;
CURAÃ‡AO;CUW;C. WILLEMSTAD;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;NINGUNA;158;(12.16957, -68.990021);1;
ESTADOS UNIDOS;USA;C. WASHINGTON;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;CASADO;MASCULINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. ATLANTA;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
PAISES BAJOS;NLD;C. AMSTERDAM;ADULTO JOVEN;24;NINGUNA;NINGUNA;BACHILLERATO;VIUDO;FEMENINO;OTRO;-1;(52.132633, 5.291266);1;
ESTADOS UNIDOS;USA;C. NUEVA YORK;ADULTO JOVEN;24;(NO REGISTRA);(NO REGISTRA);(NO REGISTRA);SOLTERO;MASCULINO;OTRO;-1;(37.09024, -95.712891);1;
AUSTRALIA;AUS;C. CANBERRA;ADULTO JOVEN;24;CIENCIAS DE LA EDUCACIÃ“N;EDUCACIÃ“N;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(-25.274398, 133.775136);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;24;CIENCIAS SOCIALES Y HUMANAS;OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESTADOS UNIDOS;USA;C. NEWARK;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA MECÃNICA Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(37.09024, -95.712891);1;
ESPAÃ‘A;ESP;C. BARCELONA;ADULTO JOVEN;24;NINGUNA;NINGUNA;NO INDICA;CASADO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);1;
SUECIA;SWE;C. ESTOCOLMO;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;OTRO PROGRAMA DE SALUD;NO INDICA;UNION_LIBRE;FEMENINO;NINGUNA;-1;(60.128161, 18.643501);1;
ECUADOR;ECU;C. QUITO;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;ENFERMERÃA;NO INDICA;UNION_LIBRE;FEMENINO;OTRO;-1;(-1.831239, -78.183406);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;NO INDICA;NO INDICA;BACHILLERATO;SOLTERO;FEMENINO;OTRO;165;(40.463667, -3.74922);1;
ESPAÃ‘A;ESP;C. VALENCIA ESP;ADULTO JOVEN;24;CIENCIAS DE LA SALUD;OTRO PROGRAMA DE SALUD;PREGRADO - TÃ‰CNICO PROFESIONAL;SOLTERO;FEMENINO;NINGUNA;-1;(40.463667, -3.74922);4;
FRANCIA;FRA;C. PARIS;ADULTO JOVEN;24;INGENIERÃA, ARQUITECTURA Y AFINES;INGENIERÃA BIOMÃ‰DICA Y AFINES;NO INDICA;SOLTERO;FEMENINO;NINGUNA;-1;(46.227638, 2.213749);1;
